Sphinx 2.2.10-id64-release (2c212e0)
Copyright (c) 2001-2015, Andrew Aksyonoff
Copyright (c) 2008-2015, Sphinx Technologies Inc (http://sphinxsearch.com)

using config file '/data/server/gaojian/sphinx/sphinx.conf'...
dumping dictionary for index 'talent_index'...
keyword,docs,hits,offset
儝,4,5,185045124
償,9,12,159554336
儡,4,8,253638813
儢,15,15,80243037
儣,38,280,89699332
儥,37,65,243749756
儧,1,1,99696827
儨,1,1,313847830
儩,44,406,232995553
優,58,123,81040876
儮,1,1,87401681
儯,1,1,104933423
儲,7,27,61028888
儴,3,4,286971019
儵,2,2,261163292
儶,3,4,63725727
儷,3,3,128754226
儸,20,43,297199150
儺,1,2,51600559
儻,4,5,119119708
儼,9,11,301854527
儾,7,10,50791572
儿,10065,19606,119224163
兀,10,10,372676898
允,1397,1784,199162498
元,203598,707025,140932748
兄,1755,2205,374183752
充,33877,48755,198979342
兆,2001,4069,27983018
兇,2,2,146830870
先,40804,65904,363026328
光,31275,64712,186850906
克,16917,27083,157031153
兌,2,2,355087815
免,12172,17001,194374206
兎,11,23,42049537
兏,1,1,154827710
児,8,28,330922579
兑,3035,4798,210724993
兒,2,3,14781384
兔,457,857,326608838
兖,113,153,27190431
兘,72,333,333040506
兙,3,3,232006317
党,63205,111102,8681595
兜,107,186,345529531
兞,1,1,1305792
兟,1,1,171177744
兠,43,240,280466866
兡,3,3,263233278
兢,933,1935,65514691
兣,1,1,127858767
兤,1,1,291208933
入,109510,280969,254253479
兦,2,2,59038797
內,65,169,136606427
全,221733,708721,302869660
兩,49,70,267752200
兪,3,4,47771450
八,14869,20203,125372212
公,217332,1942066,296287815
六,38432,51671,278953060
兮,58,80,57308623
兯,7,10,114855857
兰,11434,20663,320929714
共,89646,148469,247476896
关,158292,626190,95356618
兴,71004,96041,317501347
兵,5185,7285,252432835
其,141688,333968,73617140
具,146855,484993,92925867
典,17276,24596,309144032
兹,528,806,235697116
养,35627,62539,105272487
兼,42116,67107,310979074
兽,1033,1795,234600649
兾,22,31,81743611
兿,1,1,108755878
冀,714,1058,306310236
冁,1,1,241139082
冄,1,1,313841474
内,140892,498063,232366445
円,5,7,81038550
冈,1763,2293,322157249
冉,385,440,245530394
